smi,vis,prd
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,0.93,0.9963527
C[Si](C)(C)O[Si](C)(C)C,0.49,0.46738818
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.85,0.88354367
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,2.1,1.8970387
C[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,1.1,1.0343045
C[Si](C)(C)O[Si](CC)(CC)O[Si](C)(C)C,1.3,1.0321265
C[Si](O[Si](O[Si](C)(C)C)(C)O[Si](C)(C)C)(C)C,1.4,1.2403275
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.3,1.2629303
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,3.8,3.4990113
C[Si](O[Si](O[Si](C)(C)C)(CC)O[Si](C)(C)C)(C)C,1.7,1.6860392
CCCO[Si](OCCC)(OCCC)OCCC,1.3,1.2738038
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.8,1.7149557
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.4,2.230587
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,10.8,10.261243
C[Si](C)(C)C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,3.5,3.2822702
C[Si](C)(C)C[Si](C)(C)O[Si](C)(CC)O[Si](C)(CC)O[Si](C)(C)C[Si](C)(C)C,4.8,4.6788106
C[Si](C)(C)C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,4.4,4.031236
C[Si](C)(C)C[Si](C)(C)O[Si](C)(CC)O[Si](C)(CC)O[Si](C)(CC)O[Si](C)(C)C[Si](C)(C)C,6.3,5.9069366
O=C(OC)OC,0.58,0.5470627
CC1COC(O1)=O,2.5,2.5949173
O=C(OCC)OCC,0.76,0.59636575
O=C(OCCC)OCCC,1.2,1.0879805
O=C(OCCCCCC)OCCCCCC,3.6,3.2432942
CC(OC(C)=O)=O,0.84,0.67553973
CCCCCCCCCCCCCC,2.0,1.9133716
O(CCCCCCCC)CCCCCCCC,3.0,3.119461
CCCCCCCC(OCCCCCCCCCCCC)=O,4.2,6.9910674
CCCCCCCC(OCC(CCC)CCCCC)=O,4.3,4.60283
O=C(OC(C)C)CCCCC(OC(C)C)=O,3.5,2.5709593
CCCCCCCCCCCC,1.4,1.2871203
CCCCC(CC)C(OCC(C)(C)COC(C(CC)CCCC)=O)=O,11.0,7.971688
CCCCCCCCCCCC(OCCC(C)C)=O,4.3,4.297736
O=C(OCCC(C)C)CCCCCCCCC(OCCC(C)C)=O,9.8,9.823099
CCC(CCCC(CCCC(C)C)C)C,2.3,2.7592807
CC(C)(C)CC(C)CC(C)(C)C,1.0,1.0945752
CC(C)(C)CC(C)(C)CC(C)CC(C)(C)C,3.2,2.800497
O=C(OCCCCCCCC)OCCCCCCCC,6.1,6.206499
CCCCCCCC(OCCCOC(CCCCCCC)=O)=O,7.9,8.110686
CC(C)(C)C(OCCCCCCCC(C)C)=O,3.4,4.1616225
CCCCCCCCCCCC(OCC(CC)CCCC)=O,6.1,6.648963
CC(C)(COC(CCCCCC)=O)COC(CCCCCC)=O,7.4,8.920278
CC(C)CCCCCC(OCCCCCCC(C)C)=O,5.4,5.7399898
O=C(OC(C)C)CCCCCCCCCCCCC,4.4,4.196863
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,10.6,10.636394
CC(C)CCCCCCCCCCCCCCC(OC(C)C)=O,8.5,7.7355065
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,6.9,6.1678047
